FacultyID,ScholarExpertise
F074,"resonant states, potential curves, resonant, eom ccsd, eom, moments polarizabilities, moments, polarizabilities hyperpolarizabilities, polarizabilities, systematic comparison, lett, phys lett, phys, hyperpolarizabilities chem, corrigendum systematic"
F083,"propranolol, propranolol hydrochloride, gastroretentive drug, gastroretentive, evaluation gastroretentive, rubia cordifolia, rubia, roots rubia, nootropic activity, cordifolia linn, preparation characterization, preparation, metformin hydrochloride, metformin, hydrochloride compritol, ofloxacin transdermal, gellified emulsion, gellified, emulsion ofloxacin, emulsion, racemosa, roots inula, isolated constituents, inula racemosa, inula, situ, nasal gel, nasal, optimization thermoreversible, maleate, piper, longum, piper longum, extracts piper, activity extracts, simultaneous hptlc, hptlc estimation, hptlc, estimation telmisartan, besylate tablet, lisinopril, pulsatile drug, pulsatile, press coated, press, levamisole, evaluation chewable, chewable tablet, chewable, tablet"
F089,"literature survey, forecasting techniques, literature, market forecasting, forecasting, market prediction, prediction hybrid, hybrid, stock, market, recognition deep, quality recognition, quality, learning algorithm, fruit quality, use cases, tinyml applications, cases healthcare, cases, applications use, prediction videos, reaction prediction, reaction, recognition reaction, emotion recognition, restructuring object, oriented software, clustering techniques, object oriented, restructuring, image compression, fractal image, fractal, compression genetic, compression, languages fuzzy, models object, languages, oriented programming, programming languages, machines methods, machines, methods challenges, predicting failure, predicting, malaria, malaria cell, image classification, classification autoencoder, cell image"
F101,"oil transportation, field conditioning, energy efficient, efficient crude, efficient, biodiesel, properties biodiesel, properties, low cost, prediction fuel, sara composition, sara, learning models, purely density, purely, pour point, pour, point, point depressants, point crude, oil viscosity, reducing crude, reducing, diluents, viscosity, novel, poly hydroxy, poly, novel hydrodynamic, hydroxy butyrate, making, making industrial, outcome oriented, outcome, industrial visits, prediction viscosity, conditioning crude, magnetic fluid, fluid conditioning, fluid, recovery, oil magnetic, recovery apparent, investigations recovery, investigations, production, nanoparticles isolated, noricense biosensitized, noricense, production bacteriorhodopsin"
F146,"preclinical, pharmacology toxicology, pharmacology, preclinical evidence, evidence, phytochemical antioxidant, methanolic, ladies, abelmoschus esculentus, ladies finger, like activity, linn mice, activity noni, noni morinda, noni, linn fruit, scopoletin rutin, scopoletin, principles scopoletin, rutin rat, phytomedicines herbal, phytomedicines, herbal edibles, edibles treatment, edibles, rodent, nicotine withdrawal, withdrawal, nicotine, models nicotine, mangiferin, memory impairment, protective effect, protective, memory, signature methamphetamine, signature, methamphetamine, methamphetamine use, nucleus accumbens, nausea, mediators development, mediators, role mediators, nausea vomiting, mitragyna speciosa, mitragyna, leaf extract, speciosa leaf, psychosis mice"
F204,"shareholders wealth, shareholders, nse, nse companies, investigation nse, ownership, manufacturing firms, ownership ownership, performance evidence, ownership concentration"
F228,"plasmonic nanoparticles, plasmonic, nanoparticles coated, near infrared, nanosheets visible, magnetophotonic crystals, magnetophotonic, nonreciprocal emitters, optimization compact, gradient ascent, material znps, photocatalytic material, photocatalytic, material, znps, layered, photoluminescence van, layered crystal, effects defects, effects, mode, resonance grating, resonance, mode resonance, guided mode, photodetection, large, large transverse, semimetal tairte, semimetal, platform enabled, zero photonic, zero, nonreciprocal epsilon, near zero, photoluminescence agscp, defect contributions, defect, contributions towards, contributions, materials, photonic materials, optical characterisation, defects photonic, characterisation strain, period, perturbations absorptive, perturbations, period doubling, emissive switching"
F339,"means clustering, means, clustering, fuzzy means, comparative fuzzy, processing, pests, pests greenhouse, image processing, greenhouse image, network, precision agriculture, wireless sensor, wireless, precision, recognition svm, classifier, speech, emotion recognition, emotion, parking guidance, parking, internet things, internet, guidance internet, performance optical, optical flow, flow algorithms, flow, comparative performance, sequences, tracking, detection tracking, object detection, object, information communication, information, communication technology, communication, yolov, models real, plant disease, plant, yolov yolov, simulation, simulation convolutional, encoder, convolutional encoder, convolutional"
F389,"time, series, satellite images, series vegetation, images, land, near ujani, land cover, detection timesat, dam case, time, metaheuristic adaptive, metaheuristic, satellite vegetation, hybrid metaheuristic, traffic, signal control, signal, junction traffic, junction, end, signs, llm, platform deaf, llm integration, learning heart, risk dietary, risk, planning, personalize machine, scoping, sensors insights, wearable health, sensors, monitoring diabetes, learning predictive, modeling diabetes, modeling, predictive modeling, predictive, sensor array, pollutant, pollutant surveillance, centric sensor, centric, self driven, self, robot, multipurpose drone, multipurpose"
F406,"spectrophotometric estimation, eye drops, eye, estimation total, drops, medicine standardization, medicine, herbal medicine, herbal, antimicrobial activity, antimicrobial, activity, polymer, oils, release, controlled release, controlled, current status, buccal drug, buccal, current, drug delivery, pharmaceuticals, recent trends, recent, pharmaceuticals overview, healthcare pharmaceuticals, role phytochemical, nano, management inimitable, phytochemical nano, nano formulations, reproductive, potential therapeutics, male reproductive, male, reproductive disorders, proxetil tablet, proxetil, ofloxacin cefpodoxime, simultaneous estimation, estimation ofloxacin, magnetically responsive, magnetically, loaded, loaded magnetically, responsive"
